iter	Logloss
0	0.6892711304
1	0.6860257511
2	0.6819576361
3	0.6789834245
4	0.6755633382
5	0.6715417995
6	0.6692790366
7	0.6658841094
8	0.6643326597
9	0.661542649
10	0.6594157547
11	0.6557442899
12	0.6545541219
13	0.6509978343
14	0.6487920522
15	0.6459884583
16	0.6435340551
17	0.6415591441
18	0.6396256051
19	0.6376782116
20	0.6360587367
21	0.6351959245
22	0.634099743
23	0.6283890455
24	0.6274194394
25	0.6248191012
26	0.6231035447
27	0.6193252805
28	0.6174737453
29	0.6158361397
30	0.6114114613
31	0.610318822
32	0.6076375799
33	0.6049938952
34	0.6038778608
35	0.6022487292
36	0.599837109
37	0.5990111776
38	0.5970857068
39	0.5958082708
40	0.5947958342
41	0.5932922838
42	0.5929799904
43	0.5914309638
44	0.5886729784
45	0.5852538874
46	0.5836745758
47	0.5821764594
48	0.5809931538
49	0.5793407305
50	0.5767979588
51	0.5755630277
52	0.5731230159
53	0.5715252073
54	0.5702516299
55	0.5691514072
56	0.5676633445
57	0.5661128673
58	0.5637532982
59	0.5613905072
60	0.55876877
61	0.5559013926
62	0.552833118
63	0.5517722927
64	0.5483304062
65	0.5459814683
66	0.5438797048
67	0.5418468572
68	0.5391001017
69	0.5373235421
70	0.5358923195
71	0.5333690597
72	0.5316114031
73	0.5299596561
74	0.5272347798
75	0.524831634
76	0.5224249022
77	0.5203241397
78	0.5181075394
79	0.5160518833
80	0.5135805027
81	0.5093031998
82	0.5070727502
83	0.5054056242
84	0.5026264858
85	0.5011468499
86	0.4989919424
87	0.495890375
88	0.4934057567
89	0.4920226542
90	0.4903382307
91	0.4867389772
92	0.4824362109
93	0.4803218805
94	0.4783979689
95	0.4775472823
96	0.474531501
97	0.4713707996
98	0.468220158
99	0.4653503069
100	0.4629730665
101	0.4607921495
102	0.4579373258
103	0.456099334
104	0.4546998437
105	0.45255263
106	0.4494263987
107	0.4461861447
108	0.4438500795
109	0.4431669442
110	0.4413672305
111	0.439961704
112	0.4368128392
113	0.4341262587
114	0.4327040787
115	0.4308249474
116	0.4287901727
117	0.4265125241
118	0.4245987381
119	0.4223263259
120	0.4213481095
121	0.4183080353
122	0.4165098251
123	0.4147758127
124	0.4117533762
125	0.4094832901
126	0.4066707422
127	0.4028977379
128	0.4012023651
129	0.3998501345
130	0.3987429082
131	0.3957890361
132	0.3936616801
133	0.3909027289
134	0.3895439923
135	0.3876655312
136	0.3867441761
137	0.3841927816
138	0.3834459221
139	0.3812492452
140	0.379390106
141	0.379029393
142	0.3765958885
143	0.3762606726
144	0.374485271
145	0.3727518413
146	0.3706635171
147	0.3688112218
148	0.3676668622
149	0.3657671448
150	0.364436359
151	0.363632924
152	0.3618524405
153	0.3607055915
154	0.3592921299
155	0.3580974715
156	0.3559314662
157	0.3533895515
158	0.3517910864
159	0.3498013897
160	0.3495198646
161	0.3478483788
162	0.3467038574
163	0.3459838856
164	0.3438897692
165	0.3420139386
166	0.3398260394
167	0.3377143118
168	0.3355287319
169	0.3340386207
170	0.3328785875
171	0.3316136602
172	0.3298513639
173	0.3285529323
174	0.3270194738
175	0.3256364268
176	0.3245732423
177	0.3234772664
178	0.3222237851
179	0.3209998674
180	0.3189299502
181	0.31811624
182	0.3165461687
183	0.3151056147
184	0.3141144947
185	0.311973344
186	0.309758673
187	0.3080475169
188	0.3061437896
189	0.3050065342
190	0.303461662
191	0.3022547697
192	0.3015324625
193	0.2998846609
194	0.2977059264
195	0.2973645596
196	0.2960055857
197	0.2946586843
198	0.2931464224
199	0.2912529104
200	0.2899878269
201	0.2897241471
202	0.2887509599
203	0.2873092017
204	0.2868220958
205	0.2850920664
206	0.2844025263
207	0.2838080537
208	0.2822540272
209	0.2816658816
210	0.2803770498
211	0.2794909889
212	0.2787512392
213	0.2770889748
214	0.2759797501
215	0.2747028097
216	0.2741224936
217	0.2725130327
218	0.2723774483
219	0.2714073423
220	0.270064904
221	0.2681418114
222	0.267419329
223	0.2661146146
224	0.2660298412
225	0.2648640411
226	0.2630902443
227	0.2618121492
228	0.2606460601
229	0.2599687739
230	0.2597051014
231	0.2592667891
232	0.2582012363
233	0.2573257873
234	0.2562671021
235	0.2561822353
236	0.2551448156
237	0.2539096629
238	0.2525707269
239	0.2515348819
240	0.2502610965
241	0.2490404413
242	0.2473821437
243	0.2462443202
244	0.2456994561
245	0.2444734991
246	0.2435078246
247	0.2425440272
248	0.2412712677
249	0.2404357328
250	0.2397529724
251	0.2386936394
252	0.2377755853
253	0.2367349037
254	0.2362293112
255	0.235495971
256	0.2351209206
257	0.2340304057
258	0.2334795834
259	0.2328858495
260	0.2317432297
261	0.2309787057
262	0.2298073556
263	0.2291440693
264	0.2280894777
265	0.2267159155
266	0.2257341933
267	0.2242171523
268	0.2235640723
269	0.2227692967
270	0.2215742502
271	0.220660407
272	0.2199946594
273	0.2187339652
274	0.2183514908
275	0.2178841458
276	0.2165877107
277	0.2163220482
278	0.2158299412
279	0.2149584584
280	0.2138070015
281	0.2129376566
282	0.2128431119
283	0.2118822383
284	0.2113943226
285	0.2105947623
286	0.2094345572
287	0.2084639913
288	0.2071426448
289	0.205953483
290	0.205516714
291	0.2045972862
292	0.2038175831
293	0.2028324132
294	0.2018855179
295	0.2009663339
296	0.2000753524
297	0.1995145735
298	0.1986726199
299	0.1977803933
300	0.1975554439
301	0.1968290423
302	0.1961597283
303	0.1954665043
304	0.1949122581
305	0.194359527
306	0.1935122943
307	0.1926036757
308	0.1917706163
309	0.1917026367
310	0.1907074671
311	0.1895342789
312	0.1891533325
313	0.1884387254
314	0.1884087824
315	0.1880813426
316	0.1873821382
317	0.1865013883
318	0.1859047304
319	0.184705943
320	0.1841202711
321	0.1835468776
322	0.1833256962
323	0.1828217008
324	0.1820342041
325	0.1810583297
326	0.1807576108
327	0.1796760064
328	0.1790314698
329	0.1787619892
330	0.1778283362
331	0.1771655064
332	0.1763378865
333	0.1756502987
334	0.1752956911
335	0.1742505105
336	0.1734253541
337	0.1724906998
338	0.1715394305
339	0.171187351
340	0.1710036553
341	0.1699976979
342	0.1695271221
343	0.1693039282
344	0.168458028
345	0.1677480393
346	0.1667094363
347	0.165928258
348	0.1654822084
349	0.1651332678
350	0.1644991227
351	0.1635583897
352	0.1627556249
353	0.1618800071
354	0.1616250926
355	0.16088182
356	0.1603684868
357	0.1603058105
358	0.1595521348
359	0.1592788767
360	0.158795762
361	0.1583817117
362	0.1583432856
363	0.1579356901
364	0.1573860982
365	0.1572065993
366	0.1569818141
367	0.1564686162
368	0.1557427858
369	0.1552327637
370	0.154561622
371	0.154441768
372	0.1537281233
373	0.1530194089
374	0.1518467855
375	0.1513659485
376	0.1511229193
377	0.1507912512
378	0.1504531761
379	0.1499587581
380	0.1492787484
381	0.1491554584
382	0.1488828871
383	0.1481861853
384	0.1476733059
385	0.1472039893
386	0.147048585
387	0.1463041484
388	0.1460354653
389	0.1452597683
390	0.144801736
391	0.1442723222
392	0.1437162797
393	0.1430911907
394	0.142486555
395	0.1422822028
396	0.141343898
397	0.1411374293
398	0.1410177592
399	0.1402585536
400	0.1396785517
401	0.1394448468
402	0.1393934428
403	0.1386236754
404	0.1378613644
405	0.1372857146
406	0.1372388628
407	0.1371959896
408	0.1367383052
409	0.1360308569
410	0.135354355
411	0.1349269023
412	0.1344953337
413	0.1339105988
414	0.133749461
415	0.1333484757
416	0.1327662529
417	0.1321192596
418	0.1320355284
419	0.1318498177
420	0.1317721609
421	0.131246113
422	0.1306915418
423	0.1305172771
424	0.1303320042
425	0.1296895068
426	0.1296495202
427	0.1292414656
428	0.1285034354
429	0.1281819596
430	0.1276180358
431	0.1270747071
432	0.1268225811
433	0.1265280814
434	0.125707678
435	0.1255044175
436	0.1251328992
437	0.1248669674
438	0.1248167085
439	0.1243889632
440	0.1239800075
441	0.1239257271
442	0.1236861768
443	0.1231488198
444	0.1224851657
445	0.122119305
446	0.1220288135
447	0.1219967984
448	0.1215263508
449	0.1209628494
450	0.120331347
451	0.1198728984
452	0.1193896723
453	0.1190514577
454	0.118409506
455	0.1177277156
456	0.1172879734
457	0.1168179527
458	0.1164088474
459	0.1159197397
460	0.1154118995
461	0.1151723345
462	0.1151424601
463	0.1147932493
464	0.1146812073
465	0.1145251893
466	0.1143291634
467	0.1140728341
468	0.1137257578
469	0.1132148562
470	0.11289414
471	0.1123884322
472	0.1119508082
473	0.1115798532
474	0.1110128652
475	0.1108943182
476	0.1104292178
477	0.1101572183
478	0.109661869
479	0.1093214823
480	0.1091430204
481	0.1086756407
482	0.1081058341
483	0.1077137301
484	0.1073351786
485	0.1068650466
486	0.1063907775
487	0.1060058506
488	0.1053629555
489	0.104694605
490	0.1042581616
491	0.1037768721
492	0.10346874
493	0.1031233088
494	0.1030201829
495	0.1025195838
496	0.1018647108
497	0.1018284048
498	0.1014714275
499	0.1014350858
